,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-03,239.6666717529297,240.88333129882812,233.6699981689453,236.5800018310547,236.5800018310547,64860900,285.4200134277344,287.2300109863281,284.0,287.1199951171875,282.6846008300781,17879000,135.65965270996094,138.33651733398438,135.420654296875,137.73422241210938,126.4706802368164,4272596,145.80999755859375,148.0399932861328,145.17999267578125,147.36000061035156,145.85459899902344,64786600
2021-08-04,237.0,241.63333129882812,236.30999755859375,236.97332763671875,236.97332763671875,51007800,286.2200012207031,287.5899963378906,284.6499938964844,286.510009765625,282.0840148925781,16191300,137.47610473632812,137.83938598632812,136.20458984375,136.48184204101562,125.32071685791016,2960285,147.27000427246094,147.7899932861328,146.27999877929688,146.9499969482422,145.4488067626953,56368300
2021-08-05,238.6666717529297,240.31666564941406,237.1366729736328,238.2100067138672,238.2100067138672,38758800,286.8800048828125,289.6300048828125,286.1000061035156,289.5199890136719,285.0475158691406,13900200,136.73995971679688,137.10325622558594,135.965576171875,136.49139404296875,125.32948303222656,2884240,146.97999572753906,147.83999633789062,146.1699981689453,147.05999755859375,145.5576934814453,46397700
2021-08-06,237.3000030517578,238.77667236328125,232.5433349609375,233.03334045410156,233.03334045410156,46869000,288.510009765625,289.5,287.6199951171875,289.4599914550781,284.9884338378906,16589300,136.71128845214844,138.04014587402344,136.6061248779297,137.7533416748047,126.48822784423828,4002833,146.35000610351562,147.11000061035156,145.6300048828125,146.13999938964844,144.86380004882812,54126800
2021-08-09,236.72332763671875,239.67666625976562,235.0433349609375,237.9199981689453,237.9199981689453,44145900,289.75,291.54998779296875,287.80999755859375,288.3299865722656,283.8758544921875,16117600,135.9464569091797,136.2332763671875,134.7705535888672,135.03823852539062,125.42271423339844,5129689,146.1999969482422,146.6999969482422,145.52000427246094,146.08999633789062,144.81423950195312,48908700
2021-08-10,237.99667358398438,238.8633270263672,233.9600067138672,236.663330078125,236.663330078125,40296900,288.79998779296875,289.25,285.20001220703125,286.44000244140625,282.0150451660156,18616600,135.0,135.5736083984375,134.1682586669922,135.1625213623047,125.53812408447266,5543695,146.44000244140625,147.7100067138672,145.3000030517578,145.60000610351562,144.32850646972656,69023100
2021-08-11,237.57000732421875,238.39332580566406,234.73666381835938,235.94000244140625,235.94000244140625,29401800,287.2099914550781,288.6600036621094,285.8599853515625,286.95001220703125,282.5172424316406,13955900,135.54493713378906,136.49139404296875,135.27725219726562,135.87954711914062,126.20411682128906,4455960,146.0500030517578,146.72000122070312,145.52999877929688,145.86000061035156,144.5862579345703,48493500
2021-08-12,235.44667053222656,240.93333435058594,233.13333129882812,240.75,240.75,52377300,286.6300048828125,289.9700012207031,286.3399963378906,289.80999755859375,285.3330383300781,14561300,136.0038299560547,136.8546905517578,135.8317413330078,136.7781982421875,127.03877258300781,2184780,146.19000244140625,149.0500030517578,145.83999633789062,148.88999938964844,147.58978271484375,72282600
2021-08-13,241.23666381835938,243.3000030517578,238.1133270263672,239.05667114257812,239.05667114257812,50194500,289.4800109863281,292.8999938964844,289.29998779296875,292.8500061035156,288.32611083984375,18249000,136.3671112060547,137.26577758789062,136.1759033203125,136.88336181640625,127.13644409179688,1997965,148.97000122070312,149.44000244140625,148.27000427246094,149.10000610351562,147.7979736328125,59375000
2021-08-16,235.02333068847656,236.5,225.46665954589844,228.72332763671875,228.72332763671875,68032200,293.19000244140625,294.82000732421875,290.0199890136719,294.6000061035156,290.04901123046875,22507600,136.93116760253906,137.41873168945312,135.9751434326172,137.27532958984375,127.5005111694336,2913319,148.5399932861328,151.19000244140625,146.47000122070312,151.1199951171875,149.80032348632812,103296000
