,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM
2021-07-12 00:00:00-04:00,279.1600036621094,279.7699890136719,276.5799865722656,277.32000732421875,273.7198486328125,18931700,135.2103271484375,135.71701049804688,133.9579315185547,134.72274780273438,123.70548248291016,3496360
2021-07-13 00:00:00-04:00,277.5199890136719,282.8500061035156,277.3900146484375,280.9800109863281,277.3323669433594,26120100,134.72274780273438,134.72274780273438,133.48948669433594,134.11090087890625,123.1436538696289,3309858
2021-07-14 00:00:00-04:00,282.3500061035156,283.6600036621094,280.54998779296875,282.510009765625,278.842529296875,23113700,134.53155517578125,134.5602264404297,132.8202667236328,133.67112731933594,122.7398681640625,4606061
2021-07-15 00:00:00-04:00,282.0,282.510009765625,279.8299865722656,281.0299987792969,277.3817138671875,22604200,133.193115234375,134.28298950195312,132.69598388671875,134.27342224121094,123.29289245605469,3807126
2021-07-16 00:00:00-04:00,282.07000732421875,284.1000061035156,279.4599914550781,280.75,277.1053466796875,26186800,134.7992401123047,134.7992401123047,132.49522399902344,132.7915802001953,121.9322280883789,4298328
2021-07-19 00:00:00-04:00,278.92999267578125,280.3699951171875,274.45001220703125,277.010009765625,273.4138488769531,32935600,130.44932556152344,132.3996124267578,130.21987915039062,131.8546905517578,121.07196807861328,8977086
2021-07-20 00:00:00-04:00,278.0299987792969,280.9700012207031,276.260009765625,279.32000732421875,275.6938781738281,26259700,136.71128845214844,138.54684448242188,132.6003875732422,133.8145294189453,122.87154388427734,14237838
2021-07-21 00:00:00-04:00,278.8999938964844,281.5199890136719,277.2900085449219,281.3999938964844,277.74688720703125,24364300,133.8145294189453,135.17208862304688,133.50860595703125,135.08604431152344,124.03904724121094,5024984
2021-07-22 00:00:00-04:00,283.8399963378906,286.4200134277344,283.4200134277344,286.1400146484375,282.42535400390625,23384100,135.43020629882812,135.5736083984375,134.2351837158203,134.52198791503906,123.52112579345703,3466653
2021-07-23 00:00:00-04:00,287.3699951171875,289.989990234375,286.5,289.6700134277344,285.9095153808594,22768100,134.76100158691406,135.46844482421875,134.15870666503906,135.12428283691406,124.07416534423828,4680013
2021-07-26 00:00:00-04:00,289.0,289.69000244140625,286.6400146484375,289.04998779296875,285.2975769042969,23176100,135.17208862304688,136.71128845214844,134.92352294921875,136.49139404296875,125.3294906616211,4441630
2021-07-27 00:00:00-04:00,289.42999267578125,289.5799865722656,282.95001220703125,286.5400085449219,282.8201599121094,33604100,136.26194763183594,137.32313537597656,135.3728485107422,136.47227478027344,125.31193542480469,3281302
2021-07-28 00:00:00-04:00,288.989990234375,290.1499938964844,283.8299865722656,286.2200012207031,282.50433349609375,33566900,136.72084045410156,136.806884765625,135.4110870361328,135.53536987304688,124.45166778564453,2660815
2021-07-29 00:00:00-04:00,286.239990234375,288.6199951171875,286.0799865722656,286.5,282.7806701660156,18168300,136.07073974609375,136.67303466796875,135.3728485107422,135.68833923339844,124.59209442138672,2793761
2021-07-30 00:00:00-04:00,285.1700134277344,286.6600036621094,283.9100036621094,284.9100036621094,281.2113037109375,20944800,135.29637145996094,135.6118621826172,134.5984649658203,134.76100158691406,123.7406005859375,3698238
2021-08-02 00:00:00-04:00,286.3599853515625,286.7699890136719,283.739990234375,284.82000732421875,281.12249755859375,16267400,135.2294464111328,136.76864624023438,134.82791137695312,135.2007598876953,124.14439392089844,3064257
2021-08-03 00:00:00-04:00,285.4200134277344,287.2300109863281,284.0,287.1199951171875,283.3926086425781,17879000,135.65965270996094,138.33651733398438,135.420654296875,137.73422241210938,126.47068786621094,4272596
2021-08-04 00:00:00-04:00,286.2200012207031,287.5899963378906,284.6499938964844,286.510009765625,282.79052734375,16191300,137.47610473632812,137.83938598632812,136.20458984375,136.48184204101562,125.32070922851562,2960285
2021-08-05 00:00:00-04:00,286.8800048828125,289.6300048828125,286.1000061035156,289.5199890136719,285.761474609375,13900200,136.73995971679688,137.10325622558594,135.965576171875,136.49139404296875,125.3294906616211,2884240
2021-08-06 00:00:00-04:00,288.510009765625,289.5,287.6199951171875,289.4599914550781,285.7022705078125,16589300,136.71128845214844,138.04014587402344,136.6061248779297,137.7533416748047,126.48822784423828,4002833
2021-08-09 00:00:00-04:00,289.75,291.54998779296875,287.80999755859375,288.3299865722656,284.5869140625,16117600,135.9464569091797,136.2332763671875,134.7705535888672,135.03823852539062,125.42272186279297,5129689
2021-08-10 00:00:00-04:00,288.79998779296875,289.25,285.20001220703125,286.44000244140625,282.72149658203125,18616600,135.0,135.5736083984375,134.1682586669922,135.1625213623047,125.53813934326172,5543695
2021-08-11 00:00:00-04:00,287.2099914550781,288.6600036621094,285.8599853515625,286.95001220703125,283.2248229980469,13955900,135.54493713378906,136.49139404296875,135.27725219726562,135.87954711914062,126.20410919189453,4455960
2021-08-12 00:00:00-04:00,286.6300048828125,289.9700012207031,286.3399963378906,289.80999755859375,286.0477294921875,14561300,136.0038299560547,136.8546905517578,135.8317413330078,136.7781982421875,127.03877258300781,2184780
2021-08-13 00:00:00-04:00,289.4800109863281,292.8999938964844,289.29998779296875,292.8500061035156,289.0482482910156,18249000,136.3671112060547,137.26577758789062,136.1759033203125,136.88336181640625,127.13643646240234,1997965
2021-08-16 00:00:00-04:00,293.19000244140625,294.82000732421875,290.0199890136719,294.6000061035156,290.7755126953125,22507600,136.93116760253906,137.41873168945312,135.9751434326172,137.27532958984375,127.50050354003906,2913319
2021-08-17 00:00:00-04:00,292.3900146484375,293.42999267578125,291.0799865722656,293.0799865722656,289.27520751953125,20075300,136.71128845214844,136.86424255371094,134.88528442382812,136.1567840576172,126.46158599853516,3215195
2021-08-18 00:00:00-04:00,292.0400085449219,294.82000732421875,290.2699890136719,290.7300109863281,287.505126953125,21813000,135.4397735595703,135.67877197265625,133.26004028320312,133.33651733398438,123.84214782714844,3672192
2021-08-19 00:00:00-04:00,288.69000244140625,297.4700012207031,288.6400146484375,296.7699890136719,293.47808837890625,29850500,132.5908203125,133.31739807128906,131.1759033203125,131.95028686523438,122.55462646484375,4351465
2021-08-20 00:00:00-04:00,299.7200012207031,305.8399963378906,298.05999755859375,304.3599853515625,300.9839172363281,40817600,131.68260192871094,133.25047302246094,131.2332763671875,132.9923553466797,123.52249908447266,2780059
2021-08-23 00:00:00-04:00,303.25,305.3999938964844,301.8500061035156,304.6499938964844,301.2706604003906,22830200,133.47991943359375,133.9866180419922,132.69598388671875,133.47991943359375,123.975341796875,3179422
